Meldedatum,AnzahlFall,AnzahlTodesfall
2020-02-24,1,0
2020-02-25,3,0
2020-02-26,7,0
2020-02-27,10,0
2020-02-28,17,0
2020-02-29,19,0
2020-03-01,20,0
2020-03-02,30,0
2020-03-03,54,0
2020-03-04,92,1
2020-03-05,128,1
2020-03-06,179,3
2020-03-07,211,4
2020-03-08,230,5
2020-03-09,282,7
2020-03-10,399,7
2020-03-11,545,12
2020-03-12,734,16
2020-03-13,1049,20
2020-03-14,1375,29
2020-03-15,1558,33
2020-03-16,1989,46
2020-03-17,2590,59
2020-03-18,3392,78
2020-03-19,4046,97
2020-03-20,4894,126
2020-03-21,5459,144
2020-03-22,6007,164
2020-03-23,6656,192
2020-03-24,7844,236
2020-03-25,9030,281
2020-03-26,10249,354
2020-03-27,11500,404
2020-03-28,12511,462
2020-03-29,13171,493
2020-03-30,14100,552
2020-03-31,15327,636
2020-04-01,16572,724
2020-04-02,17994,823
2020-04-03,19265,902
2020-04-04,20119,945
2020-04-05,20615,979
2020-04-06,21182,1023
2020-04-07,22086,1075
2020-04-08,23019,1145
2020-04-09,24019,1212
2020-04-10,24685,1253
2020-04-11,25435,1290
2020-04-12,25863,1335
2020-04-13,26154,1368
2020-04-14,26523,1397
2020-04-15,27145,1442
2020-04-16,27805,1475
2020-04-17,28359,1504
2020-04-18,28750,1525
2020-04-19,29047,1551
2020-04-20,29321,1571
2020-04-21,29716,1592
2020-04-22,30220,1614
2020-04-23,30643,1636
2020-04-24,31009,1651
2020-04-25,31324,1673
2020-04-26,31456,1677
2020-04-27,31626,1681
2020-04-28,31810,1691
2020-04-29,32088,1704
2020-04-30,32344,1714
2020-05-01,32496,1722
2020-05-02,32607,1732
2020-05-03,32656,1735
2020-05-04,32733,1738
2020-05-05,32859,1744
2020-05-06,32984,1751
2020-05-07,33161,1757
2020-05-08,33367,1769
2020-05-09,33495,1774
2020-05-10,33548,1775
2020-05-11,33645,1777
2020-05-12,33744,1783
2020-05-13,33867,1787
2020-05-14,33968,1793
2020-05-15,34072,1797
2020-05-16,34126,1799
2020-05-17,34157,1799
2020-05-18,34198,1808
2020-05-19,34301,1817
2020-05-20,34388,1821
2020-05-21,34430,1823
2020-05-22,34493,1824
2020-05-23,34542,1827
2020-05-24,34559,1827
2020-05-25,34592,1828
2020-05-26,34649,1831
2020-05-27,34729,1832
2020-05-28,34791,1834
2020-05-29,34829,1835
2020-05-30,34853,1835
2020-05-31,34864,1835
2020-06-01,34871,1835
2020-06-02,34886,1836
2020-06-03,34917,1839
2020-06-04,34964,1842
2020-06-05,34999,1842
2020-06-06,35030,1842
2020-06-07,35042,1843
2020-06-08,35052,1843
2020-06-09,35082,1843
2020-06-10,35133,1844
2020-06-11,35146,1845
2020-06-12,35177,1845
2020-06-13,35187,1845
2020-06-14,35207,1845
2020-06-15,35224,1845
2020-06-16,35262,1846
2020-06-17,35286,1846
2020-06-18,35311,1846
2020-06-19,35346,1846
2020-06-20,35382,1846
2020-06-21,35393,1847
2020-06-22,35417,1847
2020-06-23,35452,1847
2020-06-24,35494,1847
2020-06-25,35537,1848
2020-06-26,35608,1849
2020-06-27,35643,1849
2020-06-28,35654,1849
2020-06-29,35668,1849
2020-06-30,35716,1849
2020-07-01,35763,1850
2020-07-02,35795,1850
2020-07-03,35835,1850
2020-07-04,35857,1851
2020-07-05,35861,1851
2020-07-06,35898,1851
2020-07-07,35933,1852
2020-07-08,35978,1852
2020-07-09,36031,1852
2020-07-10,36069,1852
2020-07-11,36093,1852
2020-07-12,36109,1852
2020-07-13,36154,1852
2020-07-14,36216,1852
2020-07-15,36262,1855
2020-07-16,36320,1855
2020-07-17,36401,1855
2020-07-18,36459,1855
2020-07-19,36486,1856
2020-07-20,36548,1857
2020-07-21,36600,1858
2020-07-22,36701,1861
2020-07-23,36787,1861
2020-07-24,36895,1862
2020-07-25,36946,1863
2020-07-26,36964,1863
2020-07-27,37039,1863
2020-07-28,37104,1863
2020-07-29,37205,1863
2020-07-30,37296,1863
2020-07-31,37399,1863
2020-08-01,37442,1863
2020-08-02,37453,1863
2020-08-03,37507,1863
2020-08-04,37574,1863
2020-08-05,37663,1863
2020-08-06,37741,1863
2020-08-07,37820,1863
2020-08-08,37877,1863
2020-08-09,37901,1863
2020-08-10,37982,1863
2020-08-11,38103,1863
2020-08-12,38253,1865
2020-08-13,38405,1865
2020-08-14,38556,1865
2020-08-15,38650,1865
2020-08-16,38680,1865
2020-08-17,38896,1865
2020-08-18,39172,1865
2020-08-19,39467,1865
2020-08-20,39724,1865
2020-08-21,40027,1866
2020-08-22,40211,1866
2020-08-23,40351,1866
2020-08-24,40581,1867
2020-08-25,40890,1867
2020-08-26,41181,1867
2020-08-27,41508,1867
2020-08-28,41788,1867
2020-08-29,41956,1867
2020-08-30,42092,1867
2020-08-31,42229,1867
2020-09-01,42365,1867
